0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Gift Card,0.005906281,0.024710643,0.001617472,-0.004085564,0.011874442,0.004826131,0.084707212,-0.001301442,-0.017316041,0.017832512,-0.011436255,0.039857431,-0.01070814,0.008021448,-0.004344658,0.019701348,-0.023038721,-0.01648114,-0.008019999,-0.020940748,0.023615604,-0.002403525,-0.008351399,0.011355564,0.022957758,-0.008106375,-0.027664407,0.02457752,0.003102879,0.029280466,0.013626188,-0.011153062,0.019472814,-0.057735594,0.001012939,0.04280779,0.048864515,-0.003178537,0.001630371,0.019669998
Luster Placemat Silver 38cmdia,-0.128984855,0.053828888,-0.009705736,0.024518535,-0.090870902,-0.159585895,-0.000595951,0.008751492,0.037509931,0.011750231,0.008997706,-0.160132983,0.040735985,-0.04533935,-0.057404232,-0.109622864,-0.049834869,-0.051419912,-0.018457427,0.090157937,0.070618287,0.025286932,-0.033206563,-0.027518223,-0.030400789,-0.176484904,-0.00883561,-0.009031963,0.06057007,0.092818773,-0.077924196,-0.066981965,0.043204005,0.097055549,0.037379408,0.006525864,-0.162957844,-0.311848263,0.011336768,-0.030231559
Acrylic Case Frame Clear/Black 15x10cmh (Photo 6x4in),0.110597368,0.148120205,-0.049582846,-0.007731738,0.04730326,-0.182370758,0.027178296,-0.026927649,0.045780061,0.026054552,-0.045934965,-0.140401139,0.177015661,0.064505438,-0.057989405,0.060321651,-0.149181849,-0.070785145,-0.143822667,0.066174306,0.077731219,0.034409434,0.143409537,0.016042531,0.063414703,-0.258806709,0.034223348,-0.025349116,-0.051706636,0.099362948,0.037651027,0.043739058,0.174770416,-0.074551093,0.015615918,0.075487849,-0.086199105,-0.097186243,0.054177214,0.04197039
"5"" Moss Ball 12.5cm Green",0.065465612,-0.012407601,-0.114972855,0.060177612,-0.147724248,-0.065536866,0.176676995,-0.163773019,0.097697608,0.111039895,0.030054984,0.24700065,0.019126612,0.169932886,0.126599998,0.496399568,0.131250743,-0.011208007,-0.020359483,-0.022523493,-0.195771557,0.022257548,-0.062629307,0.222325686,-0.152710422,-0.150703165,-0.360119109,-0.016559754,-0.18309887,-0.137873753,-0.010441142,0.389094226,0.101760387,-0.086009438,0.256736559,0.055389756,0.027532391,0.088590348,-0.11100878,0.3217424
Jester Dinner Paper Napkin Night/Spruce/Orchid 40x40cm  S/20,-0.122175984,0.011526949,-0.065303158,-0.056657993,-0.277821975,0.259783677,-0.004039488,0.048767822,-0.133220653,-0.059540563,-0.029740986,-0.045101906,-0.034011197,0.033328448,0.091049778,-0.026618565,0.051193425,0.027713046,0.052269195,0.01570128,-0.135324838,0.106489539,0.070273552,0.145102025,0.031479382,0.031127463,0.129048275,-0.255343472,-0.000925439,-0.126419024,0.098326715,-0.113039852,-0.3155698,0.444159759,0.001713681,-0.737575305,-0.006837295,-0.103310144,-0.062290486,0.018931332
Jester Night Dinner Paper Napkin Night/Gold 40x40cm S/20,-0.108269838,-0.010367451,-0.080082142,-0.06731043,-0.440939134,0.260155701,-0.019007835,0.02895465,-0.152712372,-0.053249817,-0.026294938,-0.088507706,-0.055842285,0.06739743,0.097703224,-0.037131109,0.07889122,0.054747189,0.055813599,0.019095227,-0.147252237,0.139605456,0.098509746,0.18190264,0.01270458,0.050507165,0.150440311,-0.273836048,0.004006526,-0.155421573,0.125975112,-0.104950379,-0.341566583,0.500891082,0.018053459,-0.767872194,-0.033786467,-0.129559599,-0.091113974,0.010372899
Bloom Lunch Paper Napkin Spruce/Mist/Orchid 33x33cm  S/20,-0.105341901,-0.026913502,-0.103844629,-0.065942783,-0.774165221,0.214825747,-0.047841319,0.004214802,-0.200902959,-0.018766194,-0.05544638,-0.096832487,-0.061438109,0.070371009,0.109440872,-0.090030765,0.088577028,0.114783967,0.061101009,0.065248143,-0.140213559,0.173897712,0.122368518,0.181231718,-0.04539242,0.040363163,0.223149997,-0.222428852,0.029918319,-0.214022796,0.106171488,-0.111890944,-0.352511019,0.52355061,0.032937442,-0.619919447,-0.106915667,-0.182424693,-0.111674173,0.034206207
Mesa Side Table S/2 Whitewash/Black  35x40cmh/50x50cmh,-0.025666953,0.004587075,-0.038700741,-0.046493455,-0.022747556,-0.157216131,0.052018179,-0.096930103,0.021830982,-0.024405322,-0.018831471,-0.03765514,0.127325572,-0.009769606,0.011632357,-0.036475288,-0.031622553,0.03135795,0.048357261,0.060478147,0.039560615,0.080071307,0.017657505,0.028375119,-0.062212381,-0.127744653,-0.066763813,-0.019622925,-0.015748531,0.084513158,-0.052689216,-0.053289458,0.166826316,0.086423592,0.0042044,0.043948056,-0.071352954,-0.196521977,0.007682876,-0.029191058
Village Cocktail Paper Napkin Navy/Pearl/Orchid 25x25cm S/20,-0.122277186,0.00635391,-0.07084938,-0.049982343,-0.560488186,0.258452915,-0.023933109,0.039929624,-0.182979718,-0.036520364,-0.037867541,-0.075139623,-0.06933133,0.040954735,0.086239463,-0.087366356,0.083942391,0.044132891,0.035196942,0.039322794,-0.17650714,0.14964112,0.097749809,0.162260551,-0.005115304,0.030129582,0.208082479,-0.223534496,0.032055263,-0.174764216,0.081788572,-0.111432968,-0.383645553,0.395231005,0.034798553,-0.509006001,-0.049585218,-0.110828593,-0.103921972,0.033603952
Village Night Cocktail Paper Napkin Night/Storm 25x25cm S/20,-0.130117846,0.001771244,-0.084513635,-0.071229245,-0.552844607,0.326154898,-0.012238939,0.014933722,-0.175738384,-0.054343707,-0.040679469,-0.066103561,-0.061032157,0.028121997,0.129625668,-0.055178756,0.076980107,0.051447888,0.065142817,0.028138253,-0.196012666,0.16745469,0.089522111,0.169283913,0.012228111,0.055152128,0.211538236,-0.297229399,0.024584399,-0.177111914,0.089557687,-0.116163056,-0.35341756,0.433011498,-0.011644489,-0.521908126,-0.033501443,-0.135800122,-0.113000571,0.026440826
