,x,y,z,category
Gift Card,0.112929664,0.436430893,-0.548906172,Other
Luster Placemat Silver 38cmdia,0.33120463,0.490512197,-0.528879799,Accessories
Acrylic Case Frame Clear/Black 15x10cmh (Photo 6x4in),1.893480384,-0.96020627,0.838770741,Accessories
"5"" Moss Ball 12.5cm Green",-1.108012903,-1.247957963,0.612928948,Accessories
Jester Dinner Paper Napkin Night/Spruce/Orchid 40x40cm  S/20,-1.124857048,-0.895282869,0.619092421,Accessories
Jester Night Dinner Paper Napkin Night/Gold 40x40cm S/20,-1.103684729,-0.769442713,0.580679016,Accessories
Bloom Lunch Paper Napkin Spruce/Mist/Orchid 33x33cm  S/20,0.359448758,0.460942759,-0.458930949,Accessories
Mesa Side Table S/2 Whitewash/Black  35x40cmh/50x50cmh,-0.959193871,-0.691235656,0.522542235,Accessories
Village Cocktail Paper Napkin Navy/Pearl/Orchid 25x25cm S/20,-0.968463728,-0.806665735,0.572776154,Accessories
Village Night Cocktail Paper Napkin Night/Storm 25x25cm S/20,-0.914218765,-0.754575801,0.719697557,Accessories
Houses Long Serving Platter Natural/White  48x15x1.6cmh,-1.127295162,0.084904448,0.403266814,Accessories
Houses Rect Serving Platter Natural/White  38x28x1.6cmh,-1.634414831,-0.255210951,0.495990169,Accessories
Gift Tag London Scarlet/Teal 7.5x10.5cmh,-1.142989551,-0.137889738,0.164440074,Accessories
Danbo Oblong Board Natural   40x22x2cmh,-1.535178422,-0.059146441,0.192869599,Accessories
Danbo Round Board Natural   40diax2cmh,-0.319105635,0.266228043,0.010374502,Accessories
Gift Tag Sleepy Fox Clementine/Cream 10.5x7.5cmh,-1.576265005,-0.263623687,0.188363526,Accessories
Danbo Oblong Board Whitewash  55x28x2cmh,-1.471902822,-0.217578673,0.431866392,Accessories
Card Forget Me Not Petal/Soot 10.5x14.5cmh,-1.445320932,-0.249126355,0.169519013,Accessories
Danbo Oblong Board Whitewash  40x22x2cmh,-1.115649814,-0.115449709,0.068610266,Accessories
Danbo Round Board Whitewash  40diax2cmh,-1.469495015,-0.196250823,0.536762869,Accessories
Card Secret Garden Soot/Hot Pink 10.5x14.5cmh,-1.541140225,-0.216593492,0.51900035,Accessories
Harlequin Card Soot/Dove 12x12cmh,0.350411961,0.36207887,-0.315579944,Accessories
Hades Rectangle Board Natural/White 46x28cm,-1.241208327,-0.182979941,0.299746396,Accessories
Rattan Magazine Storage Basket Natural Lge 29cmh,-1.219043172,-0.178298836,0.285074748,Accessories
Rattan Magazine Storage Basket Natural Sm 27cmh,0.002288631,-0.07959998,-0.170047439,Accessories
Kubu Square Pouf Cushion Cover Off White  60x60x8cm,1.326090765,-0.679897724,0.305383988,Accessories
Lacquered Ball Candle Eggplant 12cm,0.197494278,0.398759027,-0.289881131,Accessories
Handpainted Accent Mirror Patina 133x4x92cmh,1.71346859,0.07688992,-1.631196349,Accessories
Vitra HAL Chrome Tube Basic Dark 34.5x49x79cmh,-0.17423069,0.117772299,-0.445740499,Accessories
Placemat PVC Woven Squiggle Brown 34x46cm P/10,0.450186361,2.157966515,1.005732676,Accessories
Cube de Marseille Soap Olive 150gms,0.742205067,2.090910142,1.454253466,Accessories
Cube de Marseille Soap Palm 150gms,0.601457596,2.100041087,1.022376989,Accessories
Cube de Marseille Soap Olive 400gms,0.220040544,1.863775395,1.118351815,Accessories
Cube de Marseille Soap Palm 400gms,0.233777522,1.455880261,0.698030651,Accessories
Extra Pur Paper Wrap Soap Fragrance Free 100gms,1.171613806,1.734448673,2.088764854,Accessories
Extra Pur Paper Wrap Soap Olive & Lavender 100gms,1.170901292,1.754499871,2.098729364,Accessories
Extra Pur Paper Wrap Soap Fig of Provence 100gms,1.168353758,1.72526856,2.081631758,Accessories
Extra Pur Paper Wrap Soap Orange Blossom 100gm,0.663498899,0.599714567,-0.585030904,Accessories
Goose Down & Feather Lge Stnd Pillow Inner White 48x76cm,1.089809211,1.564641796,1.898050911,Accessories
Extra Pur Paper Wrap Soap Wild Rose 100gms,1.100484827,1.579573141,1.915051564,Accessories
Extra Pur Paper Wrap Soap Fresh Verbena 100gms,0.185584298,0.439970805,-0.392899671,Accessories
Pillow Protector Lge Standard White 48x76cm,1.232829588,1.882520709,2.252350892,Accessories
Extra Pur Paper Wrap Soap Sweet Violet 100gms,-0.008322455,0.282273907,-0.454145969,Accessories
Pillow Protector Lodge White 51x91cm,1.140703874,1.665684267,2.0135691,Accessories
Extra Pur Paper Wrap Soap Summer Grapefruit 100gms,-0.053658466,0.198610362,-0.27201885,Accessories
Pillow Protector Euro White 65x65cm,0.244855872,1.49347686,0.729736357,Accessories
Extra Pur Soap Olive Lavender 180gms,1.806216972,-0.899737507,0.789100282,Accessories
Fairys,0.362188963,0.464705752,-0.354369173,Accessories
Rockpool Bowl White/Carp 12cmdia,1.987584114,-1.128707656,0.208747131,Accessories
Astier de Villatte Adv Eau de Cologne   150ml,-0.078416275,0.184501095,-0.274146947,Accessories
Meguro Reverse Stripe Lunch Plate Nightfall 22cm,-0.274440102,0.215864418,-0.23975229,Accessories
Acacia Jute Light Shade Natural 40diax40cmh,0.140103629,0.466571472,-0.284624738,Accessories
Cialda Waffle Bedspread/Blanket White D 235x260cm,0.997329082,-0.683312889,0.073590067,Accessories
Red Butterfly Square Plate,-0.826109628,-0.229511812,-0.127395263,Accessories
Guarida Table Lamp w/Fabric Shade White 18x12x45cmh,-0.129060211,0.464185575,-0.246484247,Accessories
Guarida Table Lamp w/Fabric Shade Grey 18x12x45cmh,0.104752118,0.631196164,-0.255332607,Accessories
Guarida Table Lamp w/Metal Shade White 21x15x50cmh,0.444254754,0.741585772,-0.532626155,Accessories
Cialda Waffle Bedspread/Blanket White Q 250x260cm,1.356328975,-0.642064297,0.219261442,Accessories
Glass Bell For ADV Candles,0.132718217,0.585052867,-0.711295248,Accessories
Guarida Table Lamp w/Metal Shade Grey 21x15x50cmh,1.757575186,-1.297479993,0.107652161,Accessories
Astier Cambridge Scented Candle    260gms,2.358209103,-1.629647222,0.039685751,Accessories
Constance Charger Plate White D32.5cm,0.222854215,0.596171622,-0.639886331,Accessories
Guarida Table Lamp w/Metal Shade Copper 21x15x50cmh,0.368088344,0.467451649,-0.444443098,Accessories
Owl Egg Cup Sapphire 5cmdiax6cmh,2.64500573,-1.973965422,0.216521479,Accessories
Constance Dinner Plate  White D28.5cm,0.722787335,-0.238943532,-0.233118958,Accessories
Ambient Pendant Light OffWhite XL 51cmdiax44cmh,0.107471656,0.414333803,-0.430713429,Accessories
Cialda Waffle Euro Pillowcase Oyster 65x65cm,1.451825552,-0.779430647,0.43455157,Accessories
Astier de Villatte Fugace Eau de Cologne   150ml,2.595361346,-1.872040727,0.144891174,Accessories
Constance Dessert Plate White D23cm,-0.070499551,0.353844938,-0.047274446,Accessories
Ambient Pendant Light Off White L 35.5cmdiax29cmh,0.73477844,0.476273278,-0.449171567,Accessories
Storage Pouf w/Cushion Midnight & Off White 60x60x40cmh,0.226389304,0.560041065,-0.406073526,Accessories
Cialda Waffle Pillowcase  Oyster 75x50cm PR,2.597047348,-1.897364468,0.191186942,Accessories
Constance Cereal bowl White D19cm,0.50638983,1.027706434,-0.425185504,Accessories
Ambient Pendant Light Off White M 23.5cmdiax33cmh,1.311346888,-0.691370965,0.410068731,Accessories
Astier Kobe Scented Candle   260gms,2.59291427,-1.969132792,0.232311795,Accessories
Constance Pasta Plate White D27cm,-0.803450548,0.074094853,0.226116829,Accessories
Ambient Pendant Light Copper M 23.5cmdiax33cmh,0.335959408,0.470303129,-0.300848491,Accessories
Cialda Waffle Bedspread/Blanket Oyster Q 250x260cm,0.26012988,0.826003776,-0.366034073,Accessories
Ambient Pendant Light Off-White S 15.5cmdiax23.5cmh,1.079465626,-0.592652615,0.118327769,Accessories
Astier 1871 Commune de Paris Scented Candle   260gms,0.201464287,0.466852672,-0.671541974,Accessories
Ambient Pendant Light Copper S 15.5cmdiax23.5cmh,-0.31205293,-0.052211296,-0.109537759,Accessories
Rattan Magazine Storage Basket Natural Lge 29cmh,0.120895328,0.367355872,-0.341653844,Accessories
Owl Egg Cup Carp 5cmdiax6cmh,2.394351401,-1.675906995,0.445620019,Accessories
Astier Mantes la Jolie Scented Candle   260gms,-0.664039262,0.088451215,-0.215496787,Accessories
Squirrel Egg Cup Carp 5cmdiax6cmh,2.005900391,-1.565310401,0.118429325,Accessories
Astier Namche Bazar Scented Candle   260gms,0.407254362,0.495373987,-0.423704925,Accessories
Sola Coffee Cup w/Gold Foil Multi 8cmdiax8cmh,-1.107771732,-0.087261232,0.252323771,Accessories
Sola Coffee Mug w/Gold Foil Multi 8cmdiax10cmh,1.175345114,-0.637485666,0.193979521,Accessories
Astier Opera Scented Candle   260gms,-0.200397168,0.081100341,-0.070204454,Accessories
Rubix Decoration Pearl 5x5x5cm,0.115834556,0.098534667,-0.378270098,Accessories
Sola Dinner Plate w/Gold Foil Multi 27cmdia,-0.447432318,-0.712395945,0.243951141,Accessories
Geometric Swirl Decoration White 11.5x9cm,1.008528414,-0.781553828,0.004786342,Accessories
Red Seaweed Oval Platter,0.828042864,-0.71308687,0.02299188,Accessories
Crow Octogonal Platter,-0.454582315,-0.163807781,-0.247763494,Accessories
Benissimo Waffle Duvet Cover White Double 180x210cm,-1.595049858,-0.162766993,0.102342226,Accessories
Rockpool Breakfast Plate Pale Lemon 19cmdia,-0.099561157,0.241514184,-0.38486624,Accessories
Benissimo Waffle Pillowcase White 75x50cm PR,-1.844023666,-0.143980917,0.526866128,Accessories
Painted Wooden Cloud Tangerine 14x6x20cmh,-0.185093521,0.176099724,-0.162470972,Accessories
Painted Wooden Flying Bird Multi 12x6x23cmh,1.703715992,-0.989939185,0.481243181,Accessories
Gift Cards Hand Crafted By Aero Images,2.133363281,-1.158326489,1.060250374,Accessories
Gift Cards Hand Crafted By Aero Images,0.960908548,-0.640936152,0.012558647,Accessories
Gift Cards Hand Crafted By Aero Images,1.211758863,-0.972219085,0.075786757,Accessories
Gift Cards Hand Crafted By Aero Images,-0.14682829,-0.150405848,-0.042315797,Accessories
Heart Gift Box  Red 9/12/16cmh Ass S/3,1.440141904,-0.784121118,0.118538206,Accessories
Gift Cards Hand Crafted By Aero Images,-1.22788603,-0.090648203,-0.072773363,Accessories
Printed Gift Tags Silver/Gold 10x9.5cm S/6,-0.010829001,0.228925429,-0.287717383,Accessories
Orion Flower/Star White 60cm,-0.983074394,-0.76622611,0.740095027,Accessories
Mayur Flower/Star White  60cm,-0.470334588,-0.31587672,0.484970442,Accessories
Bolt Flower/Star White 40cm,-0.868561929,-0.233718527,-0.547135708,Accessories
Benissimo Waffle Euro Pillowcase Oyster 65x65cm,-1.054931897,-0.763336537,0.776214157,Accessories
Cairo Flower/Star Red 39cm,-0.953917582,-0.758342196,0.7189654,Accessories
Bolt Flower/Star Red 40cm,-0.292285549,0.108090031,-0.488149931,Accessories
Linen Scarf Ink Blue 50x180cm,-0.178358994,-0.115590315,-0.252536591,Accessories
Cama Bedside Cabinet w/1 Drawer Whitewash 55x40x66cmh,0.046399578,0.440332182,-0.212628993,Accessories
Rattan Gin & Tonic Foot Stool Mid Brown 36cmh,1.214694227,-0.827623141,-0.056855061,Accessories
Tic Magnetic Wall Clock White,-1.162687165,-0.19583006,0.050011425,Accessories
